id,issuer_id,notional,recovery,currency,description,issuer,,,,,,,,,,,
BSD4V9FZ9,29,500000,0.4,USD,ELECTRICITE DE FRANCE SA NONDMUNI 2.0 09-DEC-2049 Reg-S,ELECTRICITE DE FRANCE SA NONDMUNI ,,,,,,,,,,,
BSD9EWMQ8,30,2561000,0.4,USD,ELI LILLY AND COMPANY 1.125 14-SEP-2051 Reg-S (SENIOR),ELI LILLY AND COMPANY ,,,,,,,,,,,
29278GAC2,31,986000,0.4,USD,ENEL FINANCE INTERNATIONAL NV 4.75 25-MAY-2047 144a (SENIOR),ENEL FINANCE INTERNATIONAL NV ,,,,,,,,,,,
BSDCMX1E0,31,560000,0.4,USD,ENEL FINANCE INTERNATIONAL NV 4.5 20-FEB-2043 Reg-S (SENIOR),ENEL FINANCE INTERNATIONAL NV ,,,,,,,,,,,
BSD4L0T68,32,2600000,0.4,USD,ENGIE SA 1.25 24-OCT-2041 (SENIOR),ENGIE SA ,,,,,,,,,,,
BSD4JBE22,33,630000,0.4,USD,ENI SPA 1.0 11-OCT-2034 Reg-S,ENI SPA ,,,,,,,,,,,
29446MAH5,34,1382000,0.4,USD,EQUINOR ASA 3.7 06-APR-2050 (SENIOR),EQUINOR ASA ,,,,,,,,,,,
BSD60RY61,35,1600000,0.4,USD,EUROGRID GMBH 1.113 15-MAY-2032 Reg-S (SENIOR),EUROGRID GMBH ,,,,,,,,,,,
BRSXFCK03,39,875000,0.4,USD,EUROPEAN STABILITY MECHANISM 1.85 01-DEC-2055 Reg-S (SENIOR),EUROPEAN STABILITY MECHANISM ,,,,,,,,,,,
BRT1Y5SK4,36,1650000,0.4,USD,EUROPEAN FINANCIAL STABILITY FACIL 1.375 31-MAY-2047 Reg-S (SENIOR),EUROPEAN FINANCIAL STABILITY FACIL ,,,,,,,,,,,
BRT8NZZL5,37,1200000,0.4,USD,EUROPEAN FINANCIAL STABILITY FACIL GOVTGUAR 2.0 28-FEB-2056 Reg-S (SENIOR),EUROPEAN FINANCIAL STABILITY FACIL GOVTGUAR ,,,,,,,,,,,
BSD0SELH3,38,1840000,0.4,USD,EUROPEAN INVESTMENT BANK 1.5 15-NOV-2047 (SENIOR),EUROPEAN INVESTMENT BANK ,,,,,,,,,,,
BSD14ZPC7,38,1334000,0.4,USD,EUROPEAN INVESTMENT BANK 1.5 16-OCT-2048 (SENIOR),EUROPEAN INVESTMENT BANK ,,,,,,,,,,,
BSD756Q02,40,2000000,0.4,USD,EUROPEAN UNION 0.1 04-OCT-2040 Reg-S (SENIOR),EUROPEAN UNION ,,,,,,,,,,,
BSD7RN8E1,38,400000,0.4,USD,EUROPEAN INVESTMENT BANK 0.05 27-JAN-2051 Reg-S (SENIOR),EUROPEAN INVESTMENT BANK ,,,,,,,,,,,
BSDC40JK9,40,1460000,0.4,USD,EUROPEAN UNION 3.0 04-MAR-2053 Reg-S (SENIOR),EUROPEAN UNION ,,,,,,,,,,,
BRT0VJE32,41,11110115,0.4,USD,FRANCE (REPUBLIC OF) 1.75 25-MAY-2066 Dual 144a|Reg-S,FRANCE (REPUBLIC OF) ,,,,,,,,,,,
BSD7RQFJ5,41,8901000,0.4,USD,FRANCE (REPUBLIC OF) 0.5 25-MAY-2072 Dual 144a|Reg-S,FRANCE (REPUBLIC OF) ,,,,,,,,,,,
BRSY45S18,43,3450000,0.4,USD,GERMANY (FEDERAL REPUBLIC OF) 0.5 15-FEB-2026 Reg-S,GERMANY (FEDERAL REPUBLIC OF) ,,,,,,,,,,,
BSD7MBXB0,43,8334919,0.4,USD,GERMANY (FEDERAL REPUBLIC OF) 15-AUG-2050 Reg-S,GERMANY (FEDERAL REPUBLIC OF) ,,,,,,,,,,,
BSDDEYM44,43,3370000,0.4,USD,GERMANY (FEDERAL REPUBLIC OF) 1.8 15-AUG-2053 Reg-S,GERMANY (FEDERAL REPUBLIC OF) ,,,,,,,,,,,
BSDE4MYS3,43,4360000,0.4,USD,GERMANY (FEDERAL REPUBLIC OF) 3.1 12-DEC-2025 Reg-S,GERMANY (FEDERAL REPUBLIC OF) ,,,,,,,,,,,
375558BT9,44,1951000,0.4,USD,GILEAD SCIENCES INC 2.8 01-OCT-2050 (SENIOR),GILEAD SCIENCES INC ,,,,,,,,,,,
377372AJ6,45,1024000,0.4,USD,GLAXOSMITHKLINE CAPITAL INC 4.2 18-MAR-2043 (SENIOR),GLAXOSMITHKLINE CAPITAL INC ,,,,,,,,,,,
437076CD2,46,210000,0.4,USD,HOME DEPOT INC 3.35 15-APR-2050 (SENIOR),HOME DEPOT INC ,,,,,,,,,,,
437076CG5,46,2365000,0.4,USD,HOME DEPOT INC 2.375 15-MAR-2051 (SENIOR),HOME DEPOT INC ,,,,,,,,,,,
404280AM1,47,868000,0.4,USD,HSBC HOLDINGS PLC 6.1 14-JAN-2042 (SENIOR),HSBC HOLDINGS PLC ,,,,,,,,,,,
BSD4H8703,48,4193000,0.4,USD,INTERNATIONAL BANK FOR RECONSTRUCT 0.25 10-JAN-2050 (SENIOR),INTERNATIONAL BANK FOR RECONSTRUCT ,,,,,,,,,,,
BSD9N9ZD4,48,1330000,0.4,USD,INTERNATIONAL BANK FOR RECONSTRUCT 0.7 22-OCT-2046 Reg-S (SENIOR),INTERNATIONAL BANK FOR RECONSTRUCT ,,,,,,,,,,,
46647PBN5,49,1498000,0.4,USD,JPMORGAN CHASE & CO 3.109 22-APR-2051 (SENIOR),JPMORGAN CHASE & CO ,,,,,,,,,,,
BSD3DXSX9,50,1160000,0.4,USD,KFW GOVTGUAR 0.875 04-JUL-2039 Reg-S,KFW GOVTGUAR ,,,,,,,,,,,
57636QAQ7,51,1573000,0.4,USD,MASTERCARD INC 3.85 26-MAR-2050 (SENIOR),MASTERCARD INC ,,,,,,,,,,,
BSD6ZUYK5,52,2342000,0.4,USD,MEDTRONIC GLOBAL HOLDINGS SCA 1.625 15-OCT-2050 (SENIOR),MEDTRONIC GLOBAL HOLDINGS SCA ,,,,,,,,,,,
594918BU7,53,1221000,0.4,USD,MICROSOFT CORPORATION 3.95 08-AUG-2056 (SENIOR),MICROSOFT CORPORATION ,,,,,,,,,,,
609207AF2,55,500000,0.4,USD,MONDELEZ INTERNATIONAL INC 2.375 06-MAR-2035 (SENIOR),MONDELEZ INTERNATIONAL INC ,,,,,,,,,,,
BSD856B22,55,800000,0.4,USD,MONDELEZ INTERNATIONAL INC 1.375 17-MAR-2041 (SENIOR),MONDELEZ INTERNATIONAL INC ,,,,,,,,,,,
BSD9DPYZ1,54,1114000,0.4,USD,MONDELEZ INTERNATIONAL HOLDINGS NE 1.25 09-SEP-2041 Reg-S (SENIOR),MONDELEZ INTERNATIONAL HOLDINGS NE ,,,,,,,,,,,
BSDFHN9A1,56,2284000,0.4,USD,MSD NETHERLANDS CAPITAL BV 3.75 30-MAY-2054 (SENIOR),MSD NETHERLANDS CAPITAL BV ,,,,,,,,,,,
BSD7CNFG4,57,1676000,0.4,USD,NATIONAL GRID ELECTRICITY TRANSMIS 0.872 26-NOV-2040 Reg-S (SENIOR),NATIONAL GRID ELECTRICITY TRANSMIS ,,,,,,,,,,,
BSD8F45J6,58,1500000,0.4,USD,NEDERLANDSE WATERSCHAPSBANK NV NONDMUNI 0.5 26-APR-2051 Reg-S,NEDERLANDSE WATERSCHAPSBANK NV NONDMUNI ,,,,,,,,,,,
641062AN4,60,1241000,0.4,USD,NESTLE HOLDINGS INC. 4.0 24-SEP-2048 144a (SENIOR),NESTLE HOLDINGS INC. ,,,,,,,,,,,
BSDGZNBR9,59,217000,0.4,USD,NESTLE FINANCE INTERNATIONAL LTD 3.5 14-JAN-2045 Reg-S (SENIOR),NESTLE FINANCE INTERNATIONAL LTD ,,,,,,,,,,,
BRTB3D342,61,1870000,0.4,USD,NORDRHEIN-WESTFALEN LAND OF 1.55 16-JUN-2048 Reg-S,NORDRHEIN-WESTFALEN LAND OF ,,,,,,,,,,,
